波士頓塞爾蒂克,Brad Stevens,東區聯盟,2,73.1%
Marcus,Morris Sr.,前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202694.png
RJ,Barrett,前鋒-後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629628.png
Julius,Randle,前鋒-中鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203944.png
Frank,Ntilikina,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628373.png
Mitchell,Robinson,中鋒-前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629011.png
12月 22日,密爾瓦基公鹿,8:30,0
12月 21日,邁阿密熱火,114,129
12月 18日,雅特蘭大老鷹,143,120
12月 16日,丹佛金塊,105,111
12月 14日,沙加緬度國王,103,101
12月 12日,金州勇士,124,122
117.8
底特律活塞,Dwane Casey ,東區聯盟,10,37.9%
Andre,Drummond,中鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203083.png
Luke,Kennard,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628379.png
Blake,Griffin,前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201933.png
Langston,Galloway,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/204038.png
Bruce,Brown,後衛-前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628971.png
12月 22日,芝加哥公牛,8:00,0
12月 21日,波士頓塞爾蒂克,93,114
12月 19日,多倫多暴龍,99,112
12月 17日,華盛頓巫師,119,133
12月 15日,休士頓火箭,115,107
12月 13日,達拉斯獨行俠,111,122
107.4
邁阿密熱火,Erik Spoelstra,東區聯盟,3,72.4%
Jimmy,Butler,前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202710.png
Bam,Adebayo,中鋒-前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628389.png
Justise,Winslow,前鋒-後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626159.png
Kendrick,Nunn,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629134.png
Tyler,Herro,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629639.png
12月 24日,猶他爵士,8:30,0
12月 21日,紐約尼克,129,114
12月 19日,費城76人,108,104
12月 17日,曼菲斯灰熊,111,118
12月 15日,達拉斯獨行俠,122,118
12月 14日,洛杉磯湖人,110,113
116.0
費城76人,Brett Brown,東區聯盟,6,66.7%
Ben,Simmons,後衛-前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627732.png
Tobias,Harris,前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202699.png
Joel,Embiid,中鋒-前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203954.png
Josh,Richardson,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626196.png
Al,Horford,中鋒-前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201143.png
12月 21日,達拉斯獨行俠,9:00,0
12月 19日,邁阿密熱火,98,117
12月 16日,布魯克林籃網,104,108
12月 14日,紐奧良鵜鶘,89,109
12月 13日,波士頓塞爾蒂克,116,109
0,0,115,109
104.4
印第安納溜馬,Nate McMillan,東區聯盟,5,69.0%
Domantas,Sabonis,前鋒-中鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627734.png
T.J.,Warren,前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203933.png
Malcolm,Brogdon,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627763.png
Jeremy,Lamb,後衛-前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203087.png
Myles,Turner,中鋒-前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626167.png
12月 23日,密爾瓦基公鹿,8:00,0
12月 21日,沙加緬度國王,119,105
12月 18日,洛杉磯湖人,105,102
12月 16日,夏洛特黃蜂,107,85
12月 14日,雅特蘭大老鷹,110,100
12月 12日,波士頓塞爾蒂克,122,117
112.6
奧蘭多魔術,Steve Clifford,東區聯盟,9,41.4%
Aaron,Gordon,前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203932.png
Nikola,Vucevic,中鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202696.png
Evan,Fournier,後衛-前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203095.png
Jonathan,Isaac,前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628371.png
Markelle,Fultz,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628365.png
12月 24日,芝加哥公牛,8:00,0
12月 21日,波特蘭拓荒者,103,118
12月 19日,丹佛金塊,104,113
12月 18日,猶他爵士,102,109
12月 16日,紐奧良鵜鶘,130,119
12月 14日,休士頓火箭,107,130
109.2
多倫多暴龍,Nick Nurse,東區聯盟,4,71.4%
Kyle,Lowry,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200768.png
Pascal,Siakam,前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627783.png
Fred,VanVleet,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627832.png
OG,Anunoby,前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628384.png
Norman,Powell,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626181.png
12月 23日,達拉斯獨行俠,4:30,0
12月 21日,華盛頓巫師,122,118
12月 19日,底特律活塞,112,99
12月 17日,克里夫蘭騎士,133,113
12月 15日,布魯克林籃網,110,102
12月 12日,洛杉磯快艇,92,112
113.8
密爾瓦基公鹿,Mike Budenholzer,東區聯盟,1,86.2%
Giannis,Antetokounmpo,前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203507.png
Khris,Middleton,前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203114.png
Eric,Bledsoe,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202339.png
Brook,Lopez,中鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201572.png
Wesley,Matthews,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202083.png
12月 22日,紐約尼克,8:30,0
12月 20日,洛杉磯湖人,111,104
12月 17日,達拉斯獨行俠,116,120
12月 15日,克里夫蘭騎士,125,108
12月 14日,曼菲斯灰熊,127,114
12月 12日,紐奧良鵜鶘,127,112
121.2
華盛頓巫師,Scott Brooks,東區聯盟,12,29.6%
